region,code_circonscription,circonscription,nb_bv,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,bulletins_blancs,parti,candidat,voix,pourcentage_voix,elu,page_source,candidat_canon
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,INDEPENDANT,KOTO EHOU SOPIE,547,4.0,False,1,KOTO EHOU SOPIE
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,RHDP,KOFFI AKA CHARLES,9078,66.35,True,1,KOFFI AKA CHARLES
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,INDEPENDANT,YEPIE KOUASSI THEODORE,58,0.42,False,1,YEPIE KOUASSI THEODORE
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,INDEPENDANT,TCHIMOU GNAMON BERTRAND,1991,14.55,False,1,TCHIMOU GNAMON BERTRAND
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,INDEPENDANT,BOKA BOKA MAURICE,674,4.93,False,1,BOKA BOKA MAURICE
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,ADCI,EDI DOFFOU PAUL,331,2.42,False,1,EDI DOFFOU PAUL
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,FPI,N GUESSAN KOTCHI REMI,474,3.46,False,1,N GUESSAN KOTCHI REMI
AGNEBY TIASSA,001,ABOUDE ATTOBROU GUESSIGUIE GRAND MORIE LOVIGUIE ORESS KROBOU COMMUNES ET SOUS PREFECTURES AGBOVILLE SOUS PREFECTURE,144,52106,14070,27.0,388,13682,76,MGC,NANDO YAVO SERGE,453,3.31,False,1,NANDO YAVO SERGE
AGNEBY TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,ADCI,OCHOU WROHOUM MARIE PASCALE,296,2.37,False,1,OCHOU WROHOUM MARIE PASCALE
AGNEBY TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,RHDP,DIMBA N GOU PIERRE,10675,85.37,True,1,DIMBA N GOU PIERRE
AGNEBY TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,INDEPENDANT,OCHO KOKOU BERTRAND,20,0.16,False,1,OCHO KOKOU BERTRAND
AGNEBY TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,INDEPENDANT,TETCHI EHOUE ANTOINE,75,0.6,False,1,TETCHI EHOUE ANTOINE
AGNEBY TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,INDEPENDANT,N GOU KOKOLA GRACIASSE,30,0.24,False,1,N GOU KOKOLA GRACIASSE
AGNEBY TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,PDCI RDA,OHOUNA N TAKPE NICAISE,1327,10.61,False,1,OHOUNA N TAKPE NICAISE
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,INDEPENDANT,KOUAME YAO FREDERIC,439,8.61,False,1,KOUAME YAO FREDERIC
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,INDEPENDANT,DOUMBIA HAMED CHEICK YVANN,1549,30.37,False,1,DOUMBIA HAMED CHEICK YVANN
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,INDEPENDANT,KPATA APPIA EDI JORES,863,16.92,False,1,KPATA APPIA EDI JORES
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,INDEPENDANT,KIPRE LIPIA MIREILLE,38,0.74,False,1,KIPRE LIPIA MIREILLE
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,INDEPENDANT,ADJA OWO GILLES ROGER,96,1.88,False,1,ADJA OWO GILLES ROGER
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,RHDP,ALAIN EKISSI,1673,32.8,True,1,ALAIN EKISSI
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,INDEPENDANT,BAMBA IDRISSA,256,5.02,False,1,BAMBA IDRISSA
AGNEBY TIASSA,003,AZAGUIE COMMUNE ET SOUS PREFECTURE,44,15515,5174,33.35,73,5101,24,PDCI RDA,EKISSI HUBERSON EVARISTHO ALVARIS,163,3.2,False,1,EKISSI HUBERSON EVARISTHO ALVARIS
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,INDEPENDANT,AKOUE BEDE ANSELME,203,2.74,False,1,AKOUE BEDE ANSELME
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,INDEPENDANT,TCHIMOU OKOMAN EMMANUEL,1668,22.51,False,1,TCHIMOU OKOMAN EMMANUEL
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,INDEPENDANT,OFFO ABOLE SYLVAIN,827,11.16,False,1,OFFO ABOLE SYLVAIN
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,INDEPENDANT,N GOU OKAUGNY YANNICK ANICET,110,1.48,False,1,N GOU OKAUGNY YANNICK ANICET
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,RHDP,KOUASSI MARIE VIRGINIE,2607,35.19,True,1,KOUASSI MARIE VIRGINIE
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,INDEPENDANT,ATIN ERIC ALAIN,355,4.79,False,1,ATIN ERIC ALAIN
AGNEBY TIASSA,004,ANANGUIE CECHI ET RUBINO COMMUNES ET SOUS PREFECTURES,72,23466,7650,32.6,241,7409,49,INDEPENDANT,OFFO BEDIA AKE VINCENT,197,2.66,False,1,OFFO BEDIA AKE VINCENT
